,Customer ID,Total Unique Visits,First Visit Timestamp,Last Visit Timestamp,Channel,Geo Location,Total Unique Devices,Device Type,Total Unique Cookies,Exit Page,Total Sponsored Listings Viewed,Total Homepage Promos Seen,Total Product Searches Viewed,Total Session Cost,Avg Session Cost,Total Session Duration,Avg Session Duration,Total Page Views,Avg Page Views
0,U1000,7,2025-03-05 02:18:01,2025-05-01 02:03:32,referral,Cayman Islands,7,mobile,7,blog,0,5,3,10.35,1.4785714285714284,0.0,,7,1.0
1,U1001,11,2025-03-06 01:22:21,2025-05-04 17:30:41,email,American Samoa,11,mobile,11,blog,5,5,6,24.44,2.221818181818182,0.0,,3,0.2727272727272727
2,U1002,12,2025-03-01 20:48:29,2025-05-16 14:50:17,paid,Armenia,12,mobile,12,category,1,6,6,12.93,1.0775,0.0,,1,0.08333333333333333
3,U1003,8,2025-03-06 19:55:55,2025-05-13 17:54:12,social,Bahamas,8,desktop,8,category,5,3,0,19.59,2.44875,0.0,,3,0.375
4,U1004,6,2025-03-19 17:38:30,2025-05-18 05:00:36,organic,Angola,6,mobile,6,blog,3,4,0,17.76,2.9600000000000004,0.0,,6,1.0
5,U1005,7,2025-03-14 01:56:55,2025-05-27 06:02:12,organic,Armenia,7,desktop,7,blog,0,3,4,1.59,0.22714285714285715,0.0,,0,0.0
6,U1006,4,2025-03-19 02:52:18,2025-05-11 02:37:16,email,Gibraltar,4,tablet,4,blog,1,0,1,2.7,0.675,0.0,,1,0.25
7,U1007,9,2025-03-07 16:29:38,2025-05-28 18:52:43,email,Central African Republic,9,desktop,9,landing,0,0,9,1.81,0.20111111111111113,0.0,,0,0.0
8,U1008,12,2025-03-01 01:40:38,2025-05-23 04:33:25,email,Nicaragua,12,mobile,12,blog,5,12,9,23.98,1.9983333333333333,0.0,,3,0.25
9,U1009,9,2025-03-05 06:00:30,2025-05-14 08:17:23,paid,Bangladesh,9,desktop,9,home,4,0,8,12.36,1.3733333333333333,0.0,,3,0.3333333333333333
10,U1010,6,2025-03-10 14:06:45,2025-05-24 19:23:08,email,Antigua and Barbuda,6,mobile,6,category,2,2,2,8.48,1.4133333333333333,0.0,,2,0.3333333333333333
11,U1011,6,2025-03-25 20:22:48,2025-05-21 04:43:08,organic,Australia,6,mobile,6,blog,3,4,6,8.92,1.4866666666666666,0.0,,0,0.0
12,U1012,10,2025-03-06 21:26:30,2025-05-30 07:32:55,email,American Samoa,10,mobile,10,blog,1,6,1,11.65,1.165,0.0,,3,0.3
13,U1013,5,2025-03-06 15:50:56,2025-05-26 10:51:13,email,Heard Island and McDonald Islands,5,desktop,5,landing,2,2,4,6.79,1.358,0.0,,2,0.4
14,U1014,11,2025-03-08 13:36:09,2025-05-21 00:25:28,email,Armenia,11,mobile,11,landing,4,0,7,11.38,1.0345454545454547,0.0,,0,0.0
15,U1015,5,2025-03-11 05:51:57,2025-05-12 17:44:57,paid,Micronesia,5,desktop,5,blog,0,3,5,6.9,1.3800000000000001,0.0,,0,0.0
