transaction_id,order_id,product_id,quantity,total_product_price,Unit_price,discount_code_used,discount_value,shipping_cost,total_payable,return_stat,return_date,Order_date,Total_order_amount
TX1000,ORD1000,P1589,2,81.88,40.94,Yes,23.07,14.02,72.83,Not Returned,,13-03-2025,72.83
TX1000,ORD1000,P1326,2,245,122.5,No,0,17.9,262.9,Not Returned,,13-03-2025,262.9
TX1000,ORD1000,P1417,2,149.6,74.8,No,0,0.3,149.9,Not Returned,,13-03-2025,149.9
TX1001,ORD1001,P1018,3,372.93,124.31,No,0,22.91,395.84,Not Returned,,26-04-2025,395.84
TX1001,ORD1001,P1442,1,63.98,63.98,No,0,12.82,76.8,Not Returned,,26-04-2025,76.8
TX1001,ORD1001,P1906,1,65.45,65.45,Yes,13.05,19.56,71.96,Not Returned,,26-04-2025,71.96
TX1002,ORD1002,P1283,3,814.38,271.46,No,0,19.04,833.42,Not Returned,,07-05-2025,833.42
TX1003,ORD1003,P1117,3,40.44,13.48,Yes,11.34,1.65,30.75,Not Returned,,18-04-2025,30.75
TX1004,ORD1004,P1306,1,92.37,92.37,Yes,9.49,24.03,106.91,Returned,23-03-2025 20:39,16-03-2025,24.03
TX1004,ORD1004,P1157,2,126.82,63.41,Yes,35.34,3.32,94.8,Not Returned,,16-03-2025,94.8
TX1005,ORD1005,P1735,1,61.63,61.63,No,0,19.44,81.07,Returned,28-04-2025 22:47,23-04-2025,19.44
TX1005,ORD1005,P1964,3,92.25,30.75,No,0,17.91,110.16,Not Returned,,23-04-2025,110.16
TX1006,ORD1006,P1693,3,141.21,47.07,Yes,40.84,12.88,113.25,Not Returned,,01-04-2025,113.25
TX1006,ORD1006,P1976,3,108.33,36.11,Yes,18.24,23.74,113.83,Returned,03-04-2025 05:03,01-04-2025,23.74
TX1006,ORD1006,P1875,1,16.12,16.12,Yes,3.93,3.62,15.81,Not Returned,,01-04-2025,15.81
TX1007,ORD1007,P1593,3,284.52,94.84,No,0,4.54,289.06,Not Returned,,14-03-2025,289.06
TX1007,ORD1007,P1890,1,178.7,178.7,Yes,30.61,11.23,159.32,Not Returned,,14-03-2025,159.32
TX1008,ORD1008,P1502,1,454.59,454.59,Yes,115.61,4.91,343.89,Not Returned,,13-04-2025,343.89
