user_id,gender,dob,location,device_type,preferred_language,signup_date,registration_status,loyalty_program_member,account_status,acquisition_channel
U1000,female,2002-12-27,North Judithbury,desktop,English,2025-03-14 08:14:14,guest,no,active,organic
U1001,female,1968-12-20,Lake Joyside,desktop,German,2025-02-15 21:09:51,registered,no,suspended,email
U1002,female,1999-08-28,Johnsonland,desktop,German,2025-03-13 10:55:36,pending,no,inactive,organic
U1003,female,1975-04-22,New Jamesside,tablet,German,2025-04-21 11:06:14,registered,no,suspended,referral
U1004,male,1974-06-23,Lawrencetown,tablet,English,2025-03-02 00:03:58,registered,yes,active,email
U1005,female,2006-12-25,Petersonberg,desktop,Spanish,2025-03-12 19:26:05,guest,no,active,social
U1006,female,1982-05-19,North Noahstad,tablet,English,2025-04-06 18:56:59,pending,no,active,social
U1007,female,2000-07-22,Lindsaymouth,desktop,English,2025-05-14 03:00:14,pending,yes,inactive,paid
U1008,female,1967-12-20,Millerport,desktop,French,2025-05-30 02:30:39,guest,yes,inactive,email
U1009,female,1984-01-31,Lake Chad,mobile,German,2025-03-15 06:04:58,guest,yes,inactive,paid
U1010,female,1979-03-02,Port Jesseville,desktop,English,2025-04-13 19:30:59,pending,yes,suspended,referral
U1011,female,1978-05-23,Reidstad,tablet,English,2025-03-02 14:01:22,pending,yes,inactive,referral
U1012,female,1984-08-30,Jasonview,desktop,German,2025-02-12 20:45:35,guest,no,active,organic
U1013,female,2000-12-04,New Jessica,mobile,German,2025-03-02 17:30:38,pending,yes,active,paid
U1014,male,1990-12-06,Nelsonside,mobile,Spanish,2025-03-13 15:28:51,guest,yes,active,paid
U1015,male,2006-01-23,Meganton,tablet,French,2025-03-15 11:26:28,guest,yes,inactive,organic
U1016,female,1961-08-28,Richardland,mobile,Spanish,2025-03-11 23:15:04,registered,yes,active,social
U1017,female,1998-01-26,Jasonfort,desktop,French,2025-04-16 19:46:41,registered,no,suspended,email
U1018,female,2003-03-22,Thomasberg,tablet,German,2025-03-18 21:22:02,pending,no,suspended,referral
U1019,female,1997-09-03,Juliechester,desktop,English,2025-05-23 07:27:37,guest,yes,inactive,paid
U1020,male,1986-08-27,Jeffreyberg,mobile,Spanish,2025-05-08 22:33:52,pending,yes,inactive,referral
U1021,male,1993-01-21,Port Brandonville,desktop,Spanish,2025-02-28 16:17:31,registered,no,inactive,paid
U1022,male,2002-03-04,Port Erin,tablet,English,2025-05-25 19:28:03,guest,no,active,paid
U1023,male,1963-10-18,Jamesmouth,mobile,French,2025-05-12 17:51:05,registered,yes,active,paid
U1024,female,1976-07-31,Lake Jenniferside,tablet,Spanish,2025-03-22 19:29:43,registered,yes,active,social
U1025,male,2003-02-03,Danielchester,mobile,Spanish,2025-03-01 17:04:06,registered,yes,active,social
U1026,male,1990-05-08,Lake Nancyview,mobile,French,2025-05-07 04:54:01,registered,yes,active,organic
U1027,male,1971-08-19,Port Colleenhaven,mobile,English,2025-05-28 06:00:24,guest,yes,inactive,paid
U1028,male,1973-01-03,West Kathryn,mobile,English,2025-05-14 17:41:18,registered,yes,active,organic
U1029,male,1995-07-26,New Mariotown,mobile,English,2025-02-20 17:20:28,registered,yes,inactive,referral
U1030,female,1984-03-04,Johnbury,desktop,Spanish,2025-05-20 04:04:29,guest,yes,active,email
U1031,female,1964-10-31,Lake Toddland,tablet,German,2025-05-13 10:35:26,registered,no,active,referral
U1032,male,1968-01-12,Lake Thomas,tablet,English,2025-05-16 18:16:13,guest,yes,inactive,organic
U1033,male,1970-09-17,Allisonchester,tablet,French,2025-03-12 03:03:04,registered,no,inactive,social
U1034,female,1996-03-04,Lake Larry,mobile,English,2025-04-12 12:15:56,guest,yes,active,social
U1035,female,1989-04-15,Martinezbury,desktop,French,2025-02-11 10:22:56,pending,no,inactive,paid
U1036,male,1982-06-25,New Angelashire,tablet,French,2025-03-13 18:17:14,registered,yes,suspended,social
U1037,female,1959-12-18,Lake Crystalbury,mobile,Spanish,2025-02-12 02:06:29,registered,no,inactive,social
U1038,female,1961-08-11,Chadbury,desktop,French,2025-03-25 01:47:53,registered,yes,inactive,referral
U1039,male,2004-12-30,Lewisberg,mobile,English,2025-05-20 21:15:13,guest,yes,inactive,social
U1040,female,1998-09-07,Sanchezfort,tablet,French,2025-04-19 01:02:12,registered,yes,active,email
U1041,female,1972-06-06,North Donnastad,tablet,German,2025-04-22 06:01:10,registered,no,suspended,social
U1042,male,1987-06-14,Shieldston,tablet,Spanish,2025-02-18 02:39:37,guest,yes,suspended,referral
U1043,female,1963-08-07,Chandlerville,tablet,French,2025-03-19 06:49:21,registered,no,active,organic
U1044,male,1972-07-05,New Shane,tablet,German,2025-04-21 22:06:39,pending,yes,suspended,referral
U1045,male,1971-12-17,Stevenland,tablet,English,2025-04-26 01:08:20,pending,yes,active,organic
U1046,female,1996-12-03,North Deniseside,mobile,French,2025-02-01 20:46:35,registered,no,suspended,email
U1047,male,1965-10-27,East Richard,tablet,Spanish,2025-05-03 11:17:34,guest,no,suspended,organic
U1048,female,1974-01-07,Barreraburgh,desktop,English,2025-04-13 14:08:33,pending,yes,inactive,paid
U1049,female,1959-08-15,Bakermouth,desktop,English,2025-03-26 09:21:27,registered,no,suspended,organic
U1050,female,1988-04-04,Mooreport,mobile,English,2025-03-13 06:33:34,pending,yes,suspended,paid
U1051,female,1963-06-15,Lake Leeton,desktop,French,2025-05-23 10:27:53,registered,yes,suspended,organic
U1052,female,1991-12-02,North Susan,tablet,Spanish,2025-02-14 13:20:47,pending,no,active,email
U1053,female,1972-02-13,New Carlosbury,tablet,English,2025-04-18 09:43:49,guest,no,active,email
U1054,male,1967-08-19,New Brooke,mobile,French,2025-05-30 06:31:37,registered,yes,suspended,referral
U1055,male,1965-01-19,Sandovalshire,mobile,English,2025-05-11 12:20:38,guest,no,inactive,paid
U1056,female,1981-01-01,Jamesmouth,desktop,Spanish,2025-03-17 08:21:25,registered,no,active,organic
U1057,female,1977-07-19,Andersonport,tablet,Spanish,2025-04-28 18:49:15,registered,no,active,referral
U1058,male,1980-12-27,North Stephenshire,desktop,English,2025-02-18 09:56:47,pending,no,active,organic
U1059,male,1964-06-16,New Joseph,mobile,English,2025-04-07 18:29:56,guest,no,active,organic
U1060,male,1964-02-26,West Justin,mobile,Spanish,2025-04-25 02:05:17,registered,yes,inactive,organic
U1061,female,1996-06-09,Cherylhaven,desktop,Spanish,2025-01-31 12:27:29,registered,yes,active,social
U1062,female,2004-12-02,Sarahville,tablet,English,2025-02-25 01:50:31,guest,no,suspended,social
U1063,female,1977-06-21,North Juliaberg,mobile,German,2025-03-23 21:14:04,registered,yes,inactive,referral
U1064,female,1978-08-25,Lake Matthew,desktop,German,2025-03-22 06:15:14,guest,no,inactive,paid
U1065,female,1993-11-13,Kington,tablet,English,2025-02-16 22:08:31,registered,yes,active,organic
U1066,male,2002-08-21,Calderonton,desktop,English,2025-01-30 16:31:26,pending,no,suspended,referral
U1067,female,1982-03-04,Lake Tina,desktop,English,2025-03-02 09:01:35,guest,no,suspended,referral
U1068,male,1989-07-16,Hoffmanville,tablet,English,2025-02-13 14:39:42,registered,yes,active,referral
U1069,female,2006-07-01,New Barry,desktop,Spanish,2025-04-11 16:40:16,registered,no,inactive,referral
U1070,male,1999-02-11,South David,mobile,English,2025-03-30 20:35:16,guest,no,inactive,organic
U1071,female,1984-04-15,West Jasonbury,tablet,German,2025-02-18 23:03:10,pending,no,active,paid
U1072,other,1983-07-17,Dicksonberg,mobile,German,2025-03-16 23:16:33,pending,no,active,paid
U1073,female,1970-07-14,South Angel,mobile,Spanish,2025-04-04 12:05:47,pending,no,inactive,referral
U1074,male,1987-06-29,West Erik,tablet,German,2025-02-19 23:45:43,pending,yes,inactive,referral
U1075,female,1985-07-04,Port Thomasborough,mobile,English,2025-04-29 09:10:06,registered,no,suspended,paid
U1076,female,1983-04-08,Loribury,tablet,German,2025-03-14 06:53:56,pending,yes,inactive,social
U1077,female,1961-01-31,South Mark,tablet,English,2025-02-12 11:31:26,guest,yes,suspended,paid
U1078,female,1978-06-20,Darlenefurt,tablet,English,2025-05-14 02:56:47,registered,yes,active,email
U1079,male,1982-01-03,North Natalieview,tablet,French,2025-03-05 16:11:10,registered,no,inactive,email
U1080,female,1998-12-25,Benjaminchester,desktop,English,2025-04-07 03:01:07,registered,yes,inactive,paid
U1081,male,1980-10-26,Obrienhaven,mobile,French,2025-02-21 10:56:54,registered,yes,active,referral
U1082,male,1985-09-08,West Bradley,mobile,Spanish,2025-04-24 16:10:31,guest,no,suspended,organic
U1083,female,1959-08-04,West Ryan,desktop,English,2025-04-04 02:50:37,guest,yes,inactive,social
U1084,female,2001-11-17,Elizabethville,mobile,French,2025-03-29 07:36:11,pending,yes,active,organic
U1085,male,1993-12-25,Elizabethmouth,mobile,English,2025-04-18 03:19:18,registered,yes,suspended,paid
U1086,male,2006-12-02,Angelaborough,mobile,German,2025-04-21 15:25:18,pending,yes,inactive,email
U1087,female,2004-09-20,Byrdburgh,mobile,Spanish,2025-05-29 12:30:26,registered,no,inactive,social
U1088,female,1998-03-15,Richardtown,mobile,English,2025-03-30 00:09:35,pending,yes,suspended,referral
U1089,male,1978-12-31,South Kristi,tablet,German,2025-05-27 19:14:52,guest,no,suspended,email
U1090,male,2004-01-10,Stevenmouth,desktop,Spanish,2025-03-12 11:55:14,guest,yes,suspended,organic
U1091,male,1994-04-05,Leonburgh,tablet,German,2025-02-15 11:10:33,registered,no,inactive,organic
U1092,female,1978-10-14,Clarencebury,desktop,German,2025-03-31 06:39:34,guest,no,suspended,paid
