transaction_id,visit_id,user_id,order_id,purchase_date,payment_method,Total_amount
TX1000,V1018,U1002,ORD1000,13-03-2025 16:48,credit_card,476.48
TX1001,V1021,U1002,ORD1001,26-04-2025 22:00,COD,502.36
TX1002,V1023,U1002,ORD1002,07-05-2025 10:06,paypal,814.38
TX1003,V1027,U1002,ORD1003,18-04-2025 18:53,COD,40.44
TX1004,V1033,U1003,ORD1004,16-03-2025 20:39,COD,219.19
TX1005,V1034,U1003,ORD1005,23-04-2025 22:47,credit_card,153.88
TX1006,V1037,U1003,ORD1006,01-04-2025 05:03,paypal,265.66
TX1007,V1045,U1005,ORD1007,14-03-2025 12:56,COD,463.22
TX1008,V1048,U1005,ORD1008,13-04-2025 00:26,COD,638.43
TX1009,V1049,U1005,ORD1009,30-03-2025 21:44,paypal,83.7
TX1010,V1050,U1005,ORD1010,08-05-2025 15:12,COD,391.34
TX1011,V1056,U1007,ORD1011,21-05-2025 10:11,COD,174.13
TX1012,V1057,U1007,ORD1012,29-05-2025 21:52,credit_card,565.41
TX1013,V1058,U1007,ORD1013,24-04-2025 07:07,COD,308.11
TX1014,V1059,U1007,ORD1014,08-03-2025 18:29,credit_card,324.54
TX1015,V1060,U1007,ORD1015,16-03-2025 04:14,credit_card,161.31
TX1016,V1061,U1007,ORD1016,31-03-2025 06:58,paypal,39.06
TX1017,V1062,U1007,ORD1017,26-03-2025 23:38,credit_card,465.18
TX1018,V1076,U1009,ORD1018,08-05-2025 02:01,paypal,403.26
TX1019,V1078,U1009,ORD1019,17-03-2025 19:09,credit_card,144.6
TX1020,V1080,U1009,ORD1020,11-04-2025 14:54,COD,1327.21
TX1021,V1081,U1009,ORD1021,03-04-2025 03:22,credit_card,262.09
TX1022,V1088,U1010,ORD1022,17-04-2025 08:59,COD,379.51
TX1023,V1089,U1010,ORD1023,12-03-2025 05:06,paypal,1167.9
TX1024,V1090,U1010,ORD1024,26-04-2025 16:33,credit_card,600.67
TX1025,V1189,U1023,ORD1025,01-04-2025 01:58,credit_card,94.58
TX1026,V1190,U1023,ORD1026,11-05-2025 15:51,wallet,425.05
TX1027,V1197,U1023,ORD1027,11-04-2025 22:33,paypal,136.01
TX1028,V1207,U1025,ORD1028,05-03-2025 06:57,paypal,53.18
TX1029,V1211,U1025,ORD1029,22-03-2025 23:29,COD,51.84
TX1030,V1213,U1025,ORD1030,11-05-2025 12:42,wallet,284.2
TX1031,V1214,U1025,ORD1031,13-04-2025 20:21,wallet,165.2
TX1032,V1234,U1030,ORD1032,30-04-2025 05:22,COD,213.49
TX1033,V1238,U1031,ORD1033,12-04-2025 16:07,wallet,249.53
TX1034,V1240,U1031,ORD1034,27-04-2025 05:13,wallet,282.19
TX1035,V1241,U1031,ORD1035,13-03-2025 01:12,credit_card,314.36
TX1036,V1246,U1033,ORD1036,04-05-2025 03:12,COD,264.28
TX1037,V1248,U1033,ORD1037,17-03-2025 15:23,paypal,590.1
TX1038,V1249,U1033,ORD1038,30-04-2025 19:53,COD,181.74
TX1039,V1250,U1033,ORD1039,18-05-2025 12:39,credit_card,160.25
TX1040,V1251,U1033,ORD1040,01-05-2025 03:07,wallet,303.08
TX1041,V1287,U1039,ORD1041,04-05-2025 05:41,wallet,115.58
TX1042,V1290,U1039,ORD1042,28-03-2025 11:11,wallet,75.37
TX1043,V1292,U1039,ORD1043,04-05-2025 21:08,wallet,197.75
TX1044,V1333,U1044,ORD1044,27-04-2025 12:57,paypal,108.33
TX1045,V1371,U1049,ORD1045,25-04-2025 11:18,paypal,174.17
TX1046,V1372,U1049,ORD1046,23-03-2025 18:03,COD,505.72
TX1047,V1374,U1049,ORD1047,07-05-2025 19:42,wallet,492.9
TX1048,V1375,U1049,ORD1048,06-04-2025 14:08,COD,234.03
TX1049,V1376,U1049,ORD1049,06-05-2025 22:29,wallet,218.84
TX1050,V1407,U1054,ORD1050,22-04-2025 22:52,wallet,471.51
TX1051,V1408,U1054,ORD1051,25-05-2025 06:43,COD,292.95
