transaction_id,order_id,product_id,quantity,total_product_price,Unit_price,return_stat,return_date
TX1000,ORD1000,P1589,2,81.88,40.94,Not Returned,
TX1000,ORD1000,P1326,2,245,122.5,Not Returned,
TX1000,ORD1000,P1417,2,149.6,74.8,Not Returned,
TX1001,ORD1001,P1018,3,372.93,124.31,Not Returned,
TX1001,ORD1001,P1442,1,63.98,63.98,Not Returned,
TX1001,ORD1001,P1906,1,65.45,65.45,Not Returned,
TX1002,ORD1002,P1283,3,814.38,271.46,Not Returned,
TX1003,ORD1003,P1117,3,40.44,13.48,Not Returned,
TX1004,ORD1004,P1306,1,92.37,92.37,Returned,23-03-2025 20:39
TX1004,ORD1004,P1157,2,126.82,63.41,Not Returned,
TX1005,ORD1005,P1735,1,61.63,61.63,Returned,28-04-2025 22:47
TX1005,ORD1005,P1964,3,92.25,30.75,Not Returned,
TX1006,ORD1006,P1693,3,141.21,47.07,Not Returned,
TX1006,ORD1006,P1976,3,108.33,36.11,Returned,3/4/2025 5:03
TX1006,ORD1006,P1875,1,16.12,16.12,Not Returned,
TX1007,ORD1007,P1593,3,284.52,94.84,Not Returned,
TX1007,ORD1007,P1890,1,178.7,178.7,Not Returned,
TX1008,ORD1008,P1502,1,454.59,454.59,Not Returned,
TX1008,ORD1008,P1960,3,183.84,61.28,Not Returned,
TX1009,ORD1009,P1962,2,83.7,41.85,Not Returned,
TX1010,ORD1010,P1489,2,104.88,52.44,Not Returned,
TX1010,ORD1010,P1156,2,50.82,25.41,Returned,13-05-2025 15:12
TX1010,ORD1010,P1398,2,235.64,117.82,Not Returned,
TX1011,ORD1011,P1474,1,51.43,51.43,Returned,26-05-2025 10:11
TX1011,ORD1011,P1199,1,44.67,44.67,Not Returned,
TX1011,ORD1011,P1218,3,78.03,26.01,Returned,29-05-2025 10:11
TX1012,ORD1012,P1996,3,565.41,188.47,Not Returned,
TX1013,ORD1013,P1625,2,158.62,79.31,Not Returned,
TX1013,ORD1013,P1850,3,149.49,49.83,Returned,1/5/2025 7:07
TX1014,ORD1014,P1563,1,67.71,67.71,Not Returned,
TX1014,ORD1014,P1972,2,206.98,103.49,Not Returned,
TX1014,ORD1014,P1289,1,49.85,49.85,Not Returned,
TX1015,ORD1015,P1943,2,95.38,47.69,Not Returned,
TX1015,ORD1015,P1069,1,65.93,65.93,Not Returned,
TX1016,ORD1016,P1385,3,39.06,13.02,Not Returned,
TX1017,ORD1017,P1607,2,365.38,182.69,Returned,5/4/2025 23:38
TX1017,ORD1017,P1928,3,27.48,9.16,Not Returned,
TX1017,ORD1017,P1620,2,72.32,36.16,Not Returned,
TX1018,ORD1018,P1345,3,403.26,134.42,Not Returned,
TX1019,ORD1019,P1605,2,144.6,72.3,Not Returned,
TX1020,ORD1020,P1818,3,150.24,50.08,Not Returned,
TX1020,ORD1020,P1097,3,307.35,102.45,Returned,16-04-2025 14:54
TX1020,ORD1020,P1447,2,869.62,434.81,Not Returned,
TX1021,ORD1021,P1358,3,162.93,54.31,Not Returned,
TX1021,ORD1021,P1369,2,99.16,49.58,Returned,11/4/2025 3:22
TX1022,ORD1022,P1010,1,218.12,218.12,Not Returned,
TX1022,ORD1022,P1042,2,45.9,22.95,Not Returned,
