session_id,visit_id,user_id,key,device_id,cookie_id,device,entry_channel,user_country,entry_page,number_of_page_viewed,visit_datetime,sponsored_listing_viewed,banner_viewed,homepage_promo_seen,product_search_view,session_total_cost
S1000,V1000,U1000,returning,820b4665,9e1ac628,mobile,referral,Papua New Guinea,blog,7,2025-03-21 05:43:01,0,1,0,0,0.18
S1000,V1001,U1000,returning,edb9671f,e28107a3,desktop,social,Lebanon,blog,16,2025-04-07 18:43:19,0,1,0,0,0.18
S1001,V1002,U1000,returning,3475aa12,8efc6441,tablet,social,Pitcairn Islands,product,12,2025-03-31 07:16:03,0,1,1,0,1.71
S1001,V1003,U1000,new,9fdbd418,275549e6,mobile,referral,Vietnam,landing,20,2025-04-01 08:47:30,0,1,1,0,1.71
S1002,V1004,U1000,returning,0e6d1f68,856ed821,mobile,social,Cayman Islands,category,14,2025-05-01 02:03:32,0,1,1,1,2.19
S1002,V1005,U1000,returning,d42533b5,979feda4,desktop,paid,Saint Lucia,home,4,2025-03-05 02:18:01,0,1,1,1,2.19
S1002,V1006,U1000,returning,c932cefb,f486a506,mobile,referral,Samoa,home,15,2025-04-23 08:36:50,0,1,1,1,2.19
S1003,V1007,U1001,returning,c8cb8062,73cfe70f,mobile,organic,Maldives,landing,16,2025-03-12 20:36:37,0,0,0,1,0.35
S1004,V1008,U1001,returning,3c1352a5,91a4a5ad,mobile,email,El Salvador,home,20,2025-04-16 17:20:46,1,0,0,1,2.96
S1004,V1009,U1001,returning,09412eef,1ae32c43,tablet,social,Northern Mariana Islands,blog,16,2025-03-30 00:17:05,1,0,0,1,2.96
S1004,V1010,U1001,returning,2a7482dc,f7a66a2f,mobile,email,Congo,blog,18,2025-04-04 23:51:17,1,0,0,1,2.96
S1005,V1011,U1001,returning,8e17d8fe,2b4d8749,desktop,email,Tuvalu,blog,13,2025-03-06 01:22:21,0,1,1,0,1.77
S1005,V1012,U1001,new,d2200529,b9191a39,tablet,social,Tonga,landing,15,2025-05-04 17:30:41,0,1,1,0,1.77
S1005,V1013,U1001,returning,061671de,79f95d32,tablet,paid,Cuba,landing,2,2025-03-11 23:08:32,0,1,1,0,1.77
S1006,V1014,U1001,returning,d15e8749,48d517af,tablet,paid,Dominica,blog,19,2025-05-01 10:47:05,1,0,1,1,4.95
S1006,V1015,U1001,returning,592575a6,815a79d7,mobile,paid,Jordan,blog,2,2025-04-01 12:10:16,1,0,1,1,4.95
S1007,V1016,U1001,returning,55f09db5,a9e1b57e,desktop,email,American Samoa,landing,7,2025-03-17 05:58:40,0,0,0,0,0.0
S1007,V1017,U1001,returning,31a1fbb3,ffd00db4,mobile,social,South Africa,blog,14,2025-03-27 19:21:35,0,0,0,0,0.0
S1008,V1018,U1002,returning,e538a28d,09d6c349,mobile,social,Mozambique,landing,15,2025-03-12 14:48:13,0,0,0,1,0.34
S1008,V1019,U1002,returning,a1afd6f4,cc1800d5,mobile,paid,Indonesia,product,18,2025-05-16 14:50:17,0,0,0,1,0.34
S1008,V1020,U1002,new,f63d328d,72d97567,tablet,organic,Ecuador,blog,13,2025-03-01 20:48:29,0,0,0,1,0.34
S1009,V1021,U1002,returning,21127ead,2c75c22e,tablet,referral,Armenia,home,15,2025-04-26 10:00:27,0,0,0,0,0.0
S1009,V1022,U1002,returning,1acf008a,73d9ff78,tablet,paid,Slovenia,category,18,2025-05-07 01:34:02,0,0,0,0,0.0
S1009,V1023,U1002,returning,0de31fbe,81457bf2,desktop,paid,Lebanon,home,9,2025-05-06 20:06:12,0,0,0,0,0.0
S1010,V1024,U1002,returning,b35cc2bc,7a001086,mobile,referral,Nauru,blog,9,2025-03-16 01:09:26,0,0,1,1,1.72
S1010,V1025,U1002,returning,cb7f1f10,eafaa9e9,desktop,email,Holy See (Vatican City State),landing,7,2025-05-14 20:05:13,0,0,1,1,1.72
S1010,V1026,U1002,returning,80eca0f1,ed8eaeba,mobile,email,Benin,category,3,2025-03-25 03:33:53,0,0,1,1,1.72
S1011,V1027,U1002,returning,ba469477,57133477,desktop,social,Cayman Islands,blog,15,2025-04-18 12:53:46,0,0,1,0,1.53
S1011,V1028,U1002,returning,183ec0fb,b89305c3,tablet,social,Bermuda,category,7,2025-05-06 14:22:00,0,0,1,0,1.53
S1012,V1029,U1002,returning,5bd674e0,4a6b82ff,mobile,organic,Nicaragua,category,3,2025-04-02 20:34:50,1,1,1,0,3.69
S1013,V1030,U1003,returning,4cdf6f76,979d03e4,desktop,organic,Venezuela,category,1,2025-05-13 17:54:12,1,0,0,0,2.76
S1013,V1031,U1003,returning,e123379c,4256f080,desktop,social,Nigeria,landing,9,2025-03-06 19:55:55,1,0,0,0,2.76
S1014,V1032,U1003,returning,e4bf674d,e10e521c,mobile,organic,Bahamas,product,20,2025-04-04 12:24:58,1,0,1,0,4.27
S1014,V1033,U1003,returning,e69a3a04,ffe79c4f,tablet,social,Oman,home,8,2025-03-15 22:39:21,1,0,1,0,4.27
S1014,V1034,U1003,returning,f8a848bd,d1aaaca4,desktop,social,Reunion,category,18,2025-04-22 01:47:37,1,0,1,0,4.27
S1015,V1035,U1003,returning,782fea7b,a54f536d,tablet,organic,Somalia,home,18,2025-03-11 10:14:26,0,1,0,0,0.42
S1015,V1036,U1003,new,bcd4ac5c,7d825746,mobile,email,Brunei Darussalam,category,17,2025-04-17 08:45:22,0,1,0,0,0.42
S1015,V1037,U1003,returning,78b51605,5ca8e2e8,tablet,social,Djibouti,landing,13,2025-03-31 18:03:23,0,1,0,0,0.42
S1016,V1038,U1004,returning,865d7a82,8e531e72,mobile,organic,Micronesia,blog,1,2025-05-16 13:28:56,1,1,1,0,4.75
S1016,V1039,U1004,new,d3cef643,4166f12d,tablet,social,Oman,category,19,2025-05-13 11:13:58,1,1,1,0,4.75
S1016,V1040,U1004,returning,a1f8b3ac,93d9f900,mobile,paid,Guatemala,category,14,2025-05-18 05:00:36,1,1,1,0,4.75
S1017,V1041,U1004,returning,0e277b2e,7d371d31,desktop,social,Uganda,landing,7,2025-04-12 14:17:20,0,1,0,0,0.77
S1017,V1042,U1004,returning,796ee03f,c3a68fac,mobile,organic,Saint Martin,blog,18,2025-03-19 17:38:30,0,1,0,0,0.77
S1018,V1043,U1004,returning,71fd25d1,fac4d801,desktop,paid,Angola,blog,13,2025-05-06 22:04:07,0,1,1,0,1.97
S1019,V1044,U1005,new,8b0630a4,0e823b4a,mobile,social,Honduras,category,13,2025-04-04 18:35:26,0,0,1,0,0.23
S1019,V1045,U1005,returning,382b5aa6,17f3298d,desktop,social,Saint Kitts and Nevis,home,10,2025-03-14 01:56:55,0,0,1,0,0.23
S1019,V1046,U1005,returning,f838f438,bd6794a6,tablet,paid,El Salvador,home,4,2025-05-27 06:02:12,0,0,1,0,0.23
S1020,V1047,U1005,returning,41657ce7,1d885253,desktop,organic,Armenia,blog,4,2025-04-17 02:50:09,0,0,0,1,0.36
S1021,V1048,U1005,returning,ce07140a,e15f03f0,desktop,organic,Romania,category,5,2025-04-12 11:26:56,0,0,0,1,0.18
S1021,V1049,U1005,returning,d11f80f9,c2761d0d,tablet,organic,Moldova,blog,4,2025-03-29 14:44:05,0,0,0,1,0.18
S1021,V1050,U1005,new,69546a17,07d18c04,mobile,referral,Mauritania,product,16,2025-05-07 16:12:56,0,0,0,1,0.18
S1022,V1051,U1006,returning,be5b1d4a,a0cc65ee,tablet,email,Liechtenstein,blog,11,2025-03-19 10:12:35,1,1,0,1,2.7
S1023,V1052,U1006,returning,632c5bb1,fb4caaf7,desktop,referral,Mongolia,landing,14,2025-03-19 02:52:18,0,0,0,0,0.0
S1023,V1053,U1006,returning,88796fd5,cf7e10cb,tablet,referral,Mauritius,blog,3,2025-04-03 18:07:02,0,0,0,0,0.0
S1023,V1054,U1006,new,d29a9735,d30c1561,mobile,email,Gibraltar,blog,2,2025-05-11 02:37:16,0,0,0,0,0.0
S1024,V1055,U1007,returning,18c5c8b7,efe2abae,desktop,email,Lao People's Democratic Republic,landing,5,2025-03-27 17:33:08,0,0,0,1,0.08
S1024,V1056,U1007,returning,08beafbc,a3a17258,desktop,email,Trinidad and Tobago,home,15,2025-05-20 17:11:05,0,0,0,1,0.08
S1025,V1057,U1007,returning,1993cdd1,441ce5be,tablet,organic,Nepal,blog,9,2025-05-28 18:52:43,0,0,0,1,0.27
S1025,V1058,U1007,returning,b83302e6,22b8ad38,mobile,social,Tokelau,landing,4,2025-04-23 20:07:33,0,0,0,1,0.27
S1025,V1059,U1007,returning,81dde97a,5ee1b187,tablet,email,Central African Republic,landing,16,2025-03-07 16:29:38,0,0,0,1,0.27
S1026,V1060,U1007,returning,05e2929b,b412b707,mobile,organic,Malta,product,12,2025-03-16 01:14:07,0,0,0,1,0.33
S1026,V1061,U1007,returning,b918c8fe,02ebe57c,desktop,social,Korea,product,12,2025-03-29 16:58:02,0,0,0,1,0.33
S1027,V1062,U1007,returning,ce371e41,7c045172,mobile,email,Svalbard & Jan Mayen Islands,product,11,2025-03-26 13:38:53,0,0,0,1,0.09
S1027,V1063,U1007,returning,743c2069,e7bdb34e,tablet,organic,Mauritania,landing,2,2025-04-05 15:26:04,0,0,0,1,0.09
S1028,V1064,U1008,returning,bdb4b58a,4ab7fba1,tablet,email,Korea,category,19,2025-03-01 01:40:38,1,1,1,1,2.22
S1028,V1065,U1008,returning,987f054f,ee17cdad,mobile,email,Singapore,blog,18,2025-05-01 22:42:30,1,1,1,1,2.22
S1028,V1066,U1008,returning,849f83d1,4d48aa86,tablet,email,Macedonia,home,20,2025-04-06 19:14:07,1,1,1,1,2.22
S1029,V1067,U1008,returning,2bcc62b6,e6d90390,mobile,paid,Saint Martin,landing,5,2025-03-19 00:19:34,0,0,1,1,1.44
S1029,V1068,U1008,returning,7c5ff369,4d142ed5,mobile,paid,Turks and Caicos Islands,product,14,2025-03-02 19:37:13,0,0,1,1,1.44
S1030,V1069,U1008,returning,09cc560c,7fad13a0,mobile,email,Nicaragua,category,20,2025-05-23 04:33:25,0,0,1,1,1.36
S1030,V1070,U1008,returning,2600f5fe,7556dbb9,mobile,organic,Haiti,home,8,2025-05-15 08:14:58,0,0,1,1,1.36
S1031,V1071,U1008,new,ec3b8633,907d11f9,mobile,referral,Nicaragua,landing,20,2025-03-24 04:24:46,0,0,1,0,1.0
S1031,V1072,U1008,returning,0f334755,a84ce58c,tablet,paid,Gibraltar,blog,17,2025-05-10 00:03:36,0,0,1,0,1.0
S1031,V1073,U1008,new,500fa11d,3fe87ca0,tablet,social,Bahrain,blog,16,2025-05-03 21:55:31,0,0,1,0,1.0
S1032,V1074,U1008,returning,fc3512b1,fae0c95a,mobile,paid,Martinique,blog,20,2025-05-19 12:31:27,1,0,1,1,4.36
S1032,V1075,U1008,returning,1cbd3115,198f3147,mobile,referral,Iceland,category,1,2025-03-19 10:25:40,1,0,1,1,4.36
S1033,V1076,U1009,returning,8eabccb3,a67a1fde,mobile,referral,Mali,home,12,2025-05-06 08:01:39,0,0,0,1,0.32
S1033,V1077,U1009,returning,95c51c71,6d69963f,tablet,social,Luxembourg,home,16,2025-05-14 08:17:23,0,0,0,1,0.32
S1033,V1078,U1009,returning,ae41235e,048874a0,desktop,paid,Mexico,category,9,2025-03-15 23:09:08,0,0,0,1,0.32
